Field=#~Integer~#~50|Field=Line #~String~Line #~56|Field=Name~String~Name~54|Field=Description~String~Description~84|Field=Designator~String~Designator~82|Field=Quantity~Integer~Quantity~69|Field=Manufacturer 1~String~Manufacturer 1~104|Field=Manufacturer PartNo 1~String~Manufacturer PartNo 1~142|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Supplier 1~String~Supplier 1~77|Field=Supplier PartNo 1~String~Supplier PartNo 1~115|Field=Actual Price 1~Float~Actual Price 1~93|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~124|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~autito_blue_app.PrjPcb|ReportField=ProjectFullPath~C:\Users\pc-hogar\Dropbox\proyectos\autito_blue_app\autito_blue_app.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [autito_blue_app.BomDoc]|ReportField=ReportTime~16:20:16|ReportField=ReportDate~10/07/2018|ReportField=ReportDateTime~10/07/2018 16:20:16|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~21|ReportField=TotalActualPrice~4,09|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~Address1|ReportField=Address2~Address2|ReportField=Address3~Address3|ReportField=Address4~Address4|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/07/2018|ReportField=CurrentTime~12:43:56|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\pc-hogar\Dropbox\proyectos\autito_blue_app\AT long bus (13.3 x 4.2 inches).schdoc|ReportField=DocumentName~AT long bus (13.3 x 4.2 inches).schdoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~09/07/2018|ReportField=Organization~Organization|ReportField=ProjectName~autito_blue_app.PrjPcb|ReportField=Revision~0|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~AT long bus (13.3 x 4.2 inches)|ReportField=DataSourceFileName~autito_blue_app.BomDoc|ReportField=DataSourceFullPath~C:\Users\pc-hogar\Dropbox\proyectos\autito_blue_app\autito_blue_app.BomDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||100nF||C1, C2|2|{URL}{URL.TEXT}{URL.TIP}Component||||||
2||22pF||C3, C4|2|{URL}{URL.TEXT}{URL.TIP}Component||||||
3||Cap Pol|Polarized Capacitor (Surface Mount)|C5|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
4||L293|Driver_Motor|CI1|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
5||MOTOR1|Header, 2-Pin|P1|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
6||MOTOR2|Header, 2-Pin|P2|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
7||POWER IN|Header, 2-Pin|P3, P5, P6, P7|4|{URL}{URL.TEXT}{URL.TIP}Component||||||
8||HC-05|Header, 6-Pin|P4|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
9||SERVO1|Header, 3-Pin|P8|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
10||SERVO2|Header, 3-Pin|P9|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
11||LUZ1|Header, 2-Pin|P10|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
12||LUZ2|Header, 2-Pin|P11|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
13||POWER IN|Header, 2-Pin|P12|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
14||PIC16F876A-I/SO|Enhanced FLASH Microcontroller, 8K (x14-Bit words) FLASH, 368 Bytes RAM, 28-Pin SOIC, Standard VDD Range, Industrial Temperature|U1|1|{URL}{URL.TEXT}Microchip{URL.TIP}Component|PIC16F876A-I/SO|Volume Production|Farnell|9761306|4,09|4,09
15||LM78LXX||U2|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
16||5M|Crystal Oscillator|Y1|1|{URL}{URL.TEXT}{URL.TIP}Component||||||
